Year,Env,LabID,Date Received,Date Reported,E Depth,1:1 Soil pH,WDRF Buffer pH,1:1 S Salts mmho/cm,Texture No,Organic Matter LOI %,Nitrate-N ppm N,lbs N/A,Potassium ppm K,Sulfate-S ppm S,Calcium ppm Ca,Magnesium ppm Mg,Sodium ppm Na,CEC/Sum of Cations me/100g,%H Sat,%K Sat,%Ca Sat,%Mg Sat,%Na Sat,Mehlich P-III ppm P,% Sand,% Silt,% Clay,Texture,BpH,Zinc ppm Zn,Iron ppm Fe,Manganese ppm Mn,Copper ppm Cu,Boron ppm B,Comments
2015,KSH1_2015,UW Soil & Plant Analysis Lab,,5/8/15,,6.5,,,,2.1,,,145.0,,,,,,,,,,,11.0,,,,,6.7,,,,,,
2017,MNH1_2017,Ward Laboratories Inc,6/1/2017,6/5/2017,12.0,7.4,7.2,0.28,2.0,7.1,11.9,43.0,130.0,3.0,4997.0,460.0,12.0,29.2,0.0,1.0,86.0,13.0,0.0,20.0,32.0,27.0,41.0,Clay,,,,,,,
2015,MOH2_2015,UW Soil & Plant Analysis Lab,,5/26/15,,7.1,,,,1.8,,,93.5,,,,,,,,,,,38.5,,,,,,,,,,,
2019,IAH2_2019,Ward Laboratories Inc,8/22/19,8/26/19,8.0,5.9,6.4,0.16,2.0,4.7,22.1,53.0,281.0,10.7,2847.0,350.0,9.0,23.6,24.0,3.0,60.0,12.0,0.0,58.0,40.0,28.0,32.0,Clay Loam,,,,,,,
2016,ARH2_2016,Local Lab,,4/12/2016,12.0,,,,2.0,,,,76.0,11.0,817.0,214.0,,,,2.3,47.3,20.7,0.8,26.0,,,,Silt Loam,,1.9,131.0,248.0,1.5,0.0,
2019,IAH1_2019,Ward Laboratories Inc,8/22/19,8/26/19,8.0,6.3,6.6,0.2,2.0,5.3,12.3,30.0,177.0,9.8,3320.0,818.0,11.0,27.8,14.0,2.0,59.0,25.0,0.0,54.0,18.0,38.0,44.0,Clay,,,,,,,
2019,INH1_2019,Ward Laboratories Inc,11/4/19,11/7/19,8.0,6.6,7.2,0.11,2.0,3.1,20.2,48.0,171.0,5.8,1895.0,561.0,9.0,14.6,0.0,3.0,65.0,32.0,0.0,14.0,27.0,50.0,23.0,Loam,,,,,,,
2021,NEH3_2021,Ward Laboratories Inc,08/31/2021,09/02/2021,12.0,5.8,6.8,0.26,2.0,3.0,28.9,104.0,147.0,4.7,1391.0,223.0,13.0,11.2,17.0,3.0,62.0,17.0,1.0,42.0,25.0,53.0,22.0,Silt Loam,,,,,,,Results referent to NEH2_2021 and NEH3_2021
2017,DEH1_2017,Ward Laboratories Inc,6/8/2017,6/12/2017,12.0,6.0,6.6,0.22,2.0,1.6,19.1,69.0,120.0,15.9,321.0,57.0,16.0,6.5,62.0,5.0,25.0,7.0,1.0,87.0,78.0,10.0,12.0,Sandy Loam,,,,,,,
2017,ONH2_2017,Ward Laboratories Inc,9/27/2017,9/29/2017,12.0,6.7,7.2,0.25,2.0,4.5,43.5,157.0,83.0,16.2,2529.0,150.0,20.0,14.2,0.0,2.0,88.0,9.0,1.0,19.0,12.0,60.0,28.0,Silty Clay Loam,,,,,,,
2015,IAH3_2015,UW Soil & Plant Analysis Lab,,5/27/15,,6.5,,,,3.4,,,114.0,,,,,,,,,,,38.0,,,,,6.5,,,,,,
2015,NEH3_2015,UW Soil & Plant Analysis Lab,,4/23/15,,6.4,,,,2.0,,,455.0,,,,,,,,,,,27.0,,,,,6.9,,,,,,
2016,INH1_2016,Ward Laboratories Inc,7/11/2016,7/13/2016,12.0,6.0,6.8,0.11,2.0,2.8,15.9,57.0,123.0,12.0,2256.0,665.0,18.0,19.5,12.0,2.0,58.0,28.0,0.0,6.0,20.0,50.0,30.0,Clay Loam,,,,,,,
2020,WIH1_2020,Ward Laboratories Inc,7/8/20,7/10/20,8.0,5.9,6.5,0.15,2.0,4.2,19.9,48.0,198.0,7.2,1211.0,297.0,11.0,14.3,36.0,4.0,42.0,17.0,0.0,50.0,26.0,47.0,27.0,Loam,,,,,,,
2016,ILH1_2016,Ward Laboratories Inc,4/27/2016,4/29/2016,12.0,6.0,6.6,0.28,2.0,3.7,23.5,84.0,120.0,11.0,1899.0,378.0,9.0,17.1,24.0,2.0,56.0,18.0,0.0,12.0,17.0,55.0,28.0,Silty Clay Loam,,,,,,,
2021,INH1_2021,Ward Laboratories Inc,07/06/2021,07/08/2021,8.0,6.9,7.2,0.26,2.0,3.9,23.8,57.0,165.0,6.5,2846.0,829.0,12.0,21.6,0.0,2.0,66.0,32.0,0.0,25.0,25.0,41.0,34.0,Clay Loam,,,,,,,
2019,MOH1_2019,Ward Laboratories Inc,8/14/19,8/16/19,12.0,7.0,7.2,0.28,2.0,3.0,38.2,138.0,143.0,3.4,2529.0,381.0,26.0,16.3,0.0,2.0,78.0,19.0,1.0,25.0,19.0,51.0,30.0,Silty Clay Loam,,,,,,,
2020,TXH2_2020,Ward Laboratories Inc,10/9/20,10/13/20,12.0,8.0,7.2,0.41,2.0,2.8,8.8,32.0,538.0,10.6,6179.0,389.0,47.0,35.7,0.0,4.0,86.0,9.0,1.0,37.0,16.0,33.0,51.0,Clay,,,,,,,
2021,TXH1_2021,Ward Laboratories Inc,03/02/2022,03/04/2022,12.0,7.9,7.2,0.52,2.0,2.0,16.5,59.0,322.0,13.9,6213.0,366.0,82.0,35.3,0.0,2.0,88.0,9.0,1.0,16.0,21.0,32.0,47.0,Clay,,,,,,,
2015,NEH2_2015,UW Soil & Plant Analysis Lab,,7/7/15,,5.8,,,,1.6,,,330.0,,,,,,,,,,,40.0,,,,,6.4,,,,,,
2017,NYH1_2017,Ward Laboratories Inc,5/24/2017,5/26/2017,12.0,8.0,7.2,0.13,2.0,3.2,5.7,20.0,57.0,8.2,2223.0,238.0,8.0,13.3,0.0,1.0,84.0,15.0,0.0,19.0,40.0,33.0,27.0,Loam,,,,,,,
2017,GAH1_2017,Ward Laboratories Inc,5/8/2017,5/10/2017,12.0,6.6,7.2,0.06,2.0,1.0,1.4,5.0,95.0,10.6,516.0,66.0,7.0,3.4,0.0,7.0,76.0,16.0,1.0,123.0,79.0,11.0,10.0,Sandy Loam,,,,,,,
2016,OHH1_2016,Ward Laboratories Inc,7/8/2016,7/12/2016,12.0,5.4,6.5,0.23,2.0,3.7,13.9,50.0,165.0,18.0,2370.0,528.0,7.0,21.4,22.0,2.0,55.0,21.0,0.0,28.0,23.0,46.0,31.0,Clay Loam,,,,,,,
2020,MNH1_2020,Ward Laboratories Inc,12/3/20,12/7/20,8.0,6.6,7.2,0.1,2.0,3.4,3.7,9.0,200.0,6.6,1617.0,377.0,9.0,11.8,0.0,4.0,69.0,27.0,0.0,54.0,59.0,19.0,22.0,Sandy Clay Loam,,,,,,,Soil sampled post-season
2019,NEH2_2019,Ward Laboratories Inc,9/13/19,9/17/19,8.0,6.8,7.2,0.22,2.0,2.7,49.4,119.0,702.0,5.7,2506.0,332.0,16.0,17.2,0.0,10.0,73.0,16.0,0.0,40.0,45.0,27.0,28.0,Sandy Clay Loam,,,,,,,
2017,COH1_2017,Ward Laboratories Inc,5/19/2017,5/23/2017,12.0,8.3,7.2,0.665,2.0,2.65,47.85,172.25,404.0,104.45,5549.75,783.25,137.75,34.4,0.0,3.0,77.25,18.0,1.75,34.0,32.25,25.25,42.5,Clay,,,,,,,
2017,ILH1_2017,Ward Laboratories Inc,6/5/2017,6/7/2017,12.0,5.9,6.6,0.31,2.0,3.2,45.6,164.0,137.0,4.6,1885.0,369.0,13.0,16.7,23.0,2.0,56.0,18.0,0.0,27.0,16.0,48.0,36.0,Silty Clay Loam,,,,,,,
2015,MOH1_2015,UW Soil & Plant Analysis Lab,,5/26/15,,6.4,,,,2.3,,,104.0,,,,,,,,,,,18.0,,,,,6.6,,,,,,
2016,MIH1_2016,Ward Laboratories Inc,7/19/2016,7/21/2016,12.0,5.7,6.7,0.19,2.0,3.0,38.7,139.0,181.0,17.0,1452.0,232.0,29.0,12.9,24.0,4.0,56.0,15.0,1.0,31.0,54.0,29.0,17.0,Sandy Loam,,,,,,,
2017,OHH1_2017,Ward Laboratories Inc,8/29/2017,8/31/2017,12.0,6.2,6.5,0.19,2.0,4.2,16.2,58.0,193.0,12.1,3251.0,727.0,15.0,28.0,18.0,2.0,58.0,22.0,0.0,53.0,15.0,39.0,46.0,Clay,,,,,,,
2021,GAH2_2021,Ward Laboratories Inc,05/07/2021,05/11/2021,12.0,6.1,6.7,0.26,2.0,2.5,25.1,90.0,196.0,14.6,763.0,104.0,33.0,8.0,34.0,6.0,47.0,11.0,2.0,57.0,49.0,24.0,27.0,Sandy Clay Loam,,,,,,,
2016,TXH1_2016,Ward Laboratories Inc,2/1/2016,2/11/2016,12.0,7.9,,,2.0,,5.0,,341.0,9.0,6679.0,267.0,17.0,,,,,,,43.0,,,,,,0.48,9.69,2.99,0.68,0.4,
2016,ARH1_2016,Local Lab,,4/8/2016,12.0,,,,2.0,,,,123.0,7.0,1676.0,389.0,,,,2.25,59.66,23.08,0.77,40.0,,,,Silt Loam-Silty Clay Loam,,3.6,174.0,161.0,1.9,0.3,
2016,WIH2_2016,Ward Laboratories Inc,5/27/2016,6/1/2016,12.0,6.8,7.2,0.21,2.0,3.1,16.5,60.0,78.0,13.0,1544.0,542.0,26.0,12.6,0.0,2.0,61.0,36.0,1.0,4.0,23.0,51.0,26.0,Silt Loam,,,,,,,
2021,NEH1_2021,Ward Laboratories Inc,08/31/2021,09/02/2021,12.0,6.0,6.8,0.26,2.0,3.3,27.9,100.0,172.0,13.6,1443.0,232.0,15.0,11.4,15.0,4.0,63.0,17.0,1.0,46.0,25.0,53.0,22.0,Silt Loam,,,,,,,
2019,MIH1_2019,Ward Laboratories Inc,6/13/19,6/17/19,12.0,6.9,7.2,0.1,2.0,2.5,5.8,21.0,128.0,6.1,1938.0,243.0,10.0,12.1,0.0,3.0,80.0,17.0,0.0,49.0,54.0,20.0,26.0,Sandy Clay Loam,,,,,,,
2017,GAH2_2017,Ward Laboratories Inc,06/12/2017,06/14/2017,12.0,6.8,7.2,0.2,2.0,2.6,18.1,65.0,319.0,9.1,893.0,107.0,18.0,6.2,0.0,13.0,71.0,14.0,1.0,85.0,46.0,21.0,33.0,Sandy Clay Loam,,,,,,,
2015,MNH1_2015,UW Soil & Plant Analysis Lab,,5/29/15,,6.2,,,,4.2,,,109.0,,,,,,,,,,,19.0,,,,,6.5,,,,,,
2019,SCH1_2019,Ward Laboratories Inc,8/16/19,8/20/19,12.0,6.7,7.2,0.3,2.0,2.8,54.4,196.0,129.0,13.6,701.0,169.0,9.0,5.3,0.0,6.0,66.0,27.0,1.0,65.0,64.0,12.0,24.0,Sandy Clay Loam,,,,,,,
2021,NYH2_2021,Ward Laboratories Inc,07/12/2021,07/14/2021,12.0,8.0,7.2,0.18,2.0,3.1,8.1,29.0,53.0,10.0,1739.0,212.0,18.0,10.7,0.0,1.0,81.0,17.0,1.0,8.0,49.0,29.0,22.0,Loam,,,,,,,
2017,IAH2_2017,Ward Laboratories Inc,5/15/2017,5/17/2017,12.0,6.2,6.5,0.26,2.0,3.9,36.0,130.0,99.0,7.5,2794.0,391.0,10.0,22.2,21.0,1.0,63.0,15.0,0.0,26.0,32.0,32.0,36.0,Clay Loam,,,,,,,
2021,TXH2_2021,Ward Laboratories Inc,03/02/2022,03/04/2022,12.0,7.8,7.2,0.64,2.0,2.1,14.5,52.0,311.0,13.4,5991.0,354.0,81.0,34.1,0.0,2.0,88.0,9.0,1.0,15.0,16.0,40.0,44.0,Clay,,,,,,,
2020,MOH1_2_2020,Ward Laboratories Inc,9/16/20,9/18/20,12.0,6.1,6.9,0.36,2.0,2.4,54.9,198.0,100.0,4.75,1750.0,208.0,21.0,11.7,7.0,2.0,75.0,15.0,1.0,21.0,19.0,67.0,14.0,Silt Loam,,,,,,,
2017,MIH1_2017,Ward Laboratories Inc,6/9/2017,6/13/2017,12.0,6.6,7.2,0.34,2.0,2.7,48.9,176.5,117.5,21.25,1139.5,182.5,22.5,7.7,0.0,4.0,75.0,20.0,1.0,22.0,61.5,19.5,19.0,Sandy Loam,,,,,,,
2021,GEH1_2021,Ward Laboratories Inc,10/14/2021,10/18/2021,12.0,7.7,7.2,0.31,2.0,2.2,38.1,137.0,224.0,13.4,2422.0,121.0,25.0,13.8,0.0,4.0,88.0,7.0,1.0,75.0,38.0,43.0,19.0,Loam,,,,,,,
2021,WIH3_2021,Ward Laboratories Inc,06/04/2021,06/08/2021,8.0,6.1,6.8,0.1,2.0,1.0,4.7,11.0,70.0,6.7,336.0,69.0,10.0,5.0,50.0,4.0,33.0,12.0,1.0,74.0,86.0,9.0,5.0,Loamy Sand,,,,,,,
2015,SDH1_2015,UW Soil & Plant Analysis Lab,,5/28/15,,6.5,,,,3.0,,,316.0,,,,,,,,,,,26.0,,,,,6.6,,,,,,
2020,OHH1_2020,Ward Laboratories Inc,12/18/20,12/22/20,8.0,6.4,6.8,0.21,2.0,4.3,5.6,13.0,187.0,10.0,3069.0,773.0,33.0,24.5,9.0,2.0,62.0,26.0,1.0,32.0,29.0,36.0,35.0,Clay Loam,,,,,,,
2020,MOH1_1_2020,Ward Laboratories Inc,9/16/20,9/18/20,12.0,6.1,6.9,0.36,2.0,2.4,54.9,198.0,100.0,4.75,1750.0,208.0,21.0,11.7,7.0,2.0,75.0,15.0,1.0,21.0,19.0,67.0,14.0,Silt Loam,,,,,,,
2019,GAH1_2019,Ward Laboratories Inc,8/13/19,8/15/19,12.0,6.6,7.2,0.08,2.0,0.9,2.0,7.0,84.0,10.1,394.0,34.0,9.0,2.5,0.0,9.0,78.0,11.0,2.0,121.0,84.0,7.0,9.0,Loamy Sand,,,,,,,
2017,WIH2_2017,Ward Laboratories Inc,5/22/2017,5/24/2017,12.0,6.9,7.2,0.12,2.0,3.2,30.2,109.0,201.0,3.5,1734.0,548.0,10.0,13.8,0.0,4.0,63.0,33.0,0.0,47.0,14.0,55.0,31.0,Silty Clay Loam,,,,,,,
2020,NYH2_2020,Ward Laboratories Inc,7/6/20,7/8/20,12.0,8.07,7.2,0.24,2.0,3.8,14.9,54.0,48.0,13.3,2215.0,200.0,13.0,12.93,0.0,1.0,86.0,13.0,0.0,9.0,44.0,31.0,24.0,Loam,,,,,,,
2019,NEH1_2019,Ward Laboratories Inc,9/13/19,9/17/19,8.0,6.5,6.9,0.1,2.0,2.2,22.3,53.0,585.0,6.2,2285.0,358.0,9.0,16.9,6.0,9.0,67.0,18.0,0.0,24.0,46.0,24.0,30.0,Sandy Clay Loam,,,,,,,
2020,WIH2_2020,Ward Laboratories Inc,7/8/20,7/10/20,8.0,6.7,7.2,0.37,2.0,4.7,56.8,136.0,183.0,11.5,1483.0,467.0,10.0,11.8,0.0,4.0,63.0,33.0,0.0,68.0,26.0,47.0,27.0,Loam,,,,,,,
2020,WIH3_2020,Ward Laboratories Inc,7/8/20,7/10/20,8.0,5.3,6.5,0.1,2.0,1.0,14.5,35.0,72.0,11.6,302.0,78.0,7.0,7.8,69.0,2.0,19.0,8.0,0.0,93.0,86.0,4.0,10.0,Loamy Sand,,,,,,,
2021,NYH3_2021,Ward Laboratories Inc,07/12/2021,07/14/2021,12.0,7.6,7.2,0.21,2.0,3.5,14.9,54.0,63.0,13.0,2000.0,245.0,20.0,12.3,0.0,1.0,81.0,17.0,1.0,13.0,47.0,29.0,24.0,Loam,,,,,,,
2015,WIH2_2015,UW Soil & Plant Analysis Lab,,6/11/15,,6.4,,,,3.1,,,200.0,,,,,,,,,,,82.0,,,,,6.6,,,,,,
2018,NYH3_2018,Ward Laboratories Inc,6/12/2018,6/14/2018,12.0,7.7,7.2,0.17,2.0,3.6,17.1,62.0,57.0,3.8,1702.0,313.0,16.0,11.3,0.0,1.0,75.0,23.0,1.0,23.0,44.0,24.0,32.0,Clay Loam,,,,,,,
2018,WIH1_2018,Ward Laboratories Inc,9/10/2018,9/12/2018,12.0,7.1,7.2,0.22,2.0,4.3,39.0,140.0,326.0,3.8,1860.0,538.0,8.0,14.7,0.0,6.0,63.0,31.0,0.0,132.0,17.0,47.0,36.0,Silty Clay Loam,,,,,,,
2017,WIH1_2017,Ward Laboratories Inc,5/22/2017,5/24/2017,12.0,7.1,7.2,0.22,2.0,4.3,39.0,140.0,326.0,3.8,1860.0,538.0,8.0,14.7,0.0,6.0,63.0,31.0,0.0,132.0,17.0,47.0,36.0,Silty Clay Loam,,,,,,,
2015,INH1_2015,UW Soil & Plant Analysis Lab,,6/2/15,,6.1,,,,2.9,,,86.0,,,,,,,,,,,14.0,,,,,6.5,,,,,,
2021,DEH1_2021,Ward Laboratories Inc,12/06/2021,12/08/2021,8.0,6.1,6.8,0.26,2.0,1.0,44.1,106.0,115.0,13.5,364.0,58.0,9.0,4.1,36.0,7.0,44.0,12.0,1.0,103.0,31.0,44.0,25.0,Loam,,,,,,,
2018,GAH2_2018,Ward Laboratories Inc,5/8/2018,5/10/2018,12.0,7.1,7.05,0.175,2.0,2.0,13.8,50.0,100.5,9.25,993.5,147.5,16.0,7.9,6.0,4.0,71.0,18.0,1.0,11.0,46.5,28.0,25.5,Loam,,,,,,,
2020,NYH3_2020,Ward Laboratories Inc,7/6/20,7/8/20,12.0,7.9,7.2,0.22,2.0,3.1,17.2,62.0,50.0,10.0,1955.0,212.0,11.0,11.73,0.0,1.0,83.0,15.0,0.0,9.0,45.0,30.0,25.0,Loam,,,,,,,
2020,IAH1_2020,Ward Laboratories Inc,6/24/20,6/26/20,8.0,6.2,6.4,0.24,2.0,5.1,24.0,58.0,157.0,6.9,3340.0,763.0,11.0,29.3,20.0,1.0,57.0,22.0,0.0,30.0,16.0,41.0,43.0,Silty Clay,,,,,,,
2021,SCH1_2021,Ward Laboratories Inc,06/04/2021,06/08/2021,8.0,6.25,6.7,0.096,2.0,2.76,5.93,14.2,112.3,8.41,905.0,98.9,11.8,8.96,42.3,3.6,42.9,10.2,0.9,103.1,66.0,17.1,16.9,Sandy Loam,,,,,,,
2021,IAH4_2021,Ward Laboratories Inc,08/10/2021,08/12/2021,8.0,5.9,6.7,0.29,2.0,3.0,27.1,65.0,239.0,15.2,1819.0,283.0,34.0,15.7,22.0,4.0,58.0,15.0,1.0,52.0,52.0,24.0,24.0,Sandy Clay Loam,,,,,,,
2016,MOH1_2016,Ward Laboratories Inc,6/15/2016,6/17/2016,12.0,6.7,7.2,0.33,2.0,2.2,36.6,132.0,150.0,9.0,2438.0,245.0,25.0,14.7,0.0,3.0,82.0,14.0,1.0,35.0,21.0,56.0,23.0,Silt Loam,,,,,,,
2017,IAH3_2017,Ward Laboratories Inc,5/15/2017,5/17/2017,12.0,6.5,6.7,0.1,2.0,3.7,7.4,27.0,102.0,5.2,2786.0,322.0,12.0,19.8,15.0,1.0,70.0,14.0,0.0,23.0,12.0,48.0,40.0,Silty Clay Loam,,,,,,,
2016,ONH1_2016,Ward Laboratories Inc,6/6/2016,6/8/2016,12.0,7.2,7.2,0.25,2.0,2.8,34.8,125.0,162.0,10.0,1564.0,224.0,4.0,10.1,0.0,4.0,77.0,18.0,0.0,98.0,43.0,43.0,14.0,Loam,,,,,,,
2020,GAH1_2020,Ward Laboratories Inc,12/14/20,12/16/20,6.0,6.9,7.2,0.06,2.0,0.9,2.0,4.0,76.0,8.6,513.0,57.0,16.0,3.3,0.0,6.0,78.0,14.0,2.0,137.0,83.0,11.0,6.0,Loamy Sand,,,,,,,Soil sampled post-season
2021,IAH3_2021,Ward Laboratories Inc,08/10/2021,08/12/2021,8.0,5.9,6.7,0.51,2.0,4.1,68.6,165.0,188.0,11.2,2206.0,273.0,16.0,17.4,20.0,3.0,64.0,13.0,0.0,63.0,16.0,50.0,34.0,Silty Clay Loam,,,,,,,
2018,NCH1_2018,Ward Laboratories Inc,5/30/2018,6/1/2018,12.0,5.6,6.8,0.12,2.0,1.3,16.9,61.0,141.0,7.6,218.0,66.0,6.0,3.8,47.0,9.0,28.0,14.0,1.0,56.0,72.0,9.0,19.0,Sandy Loam,,,,,,,
2017,IAH4_2017,Ward Laboratories Inc,5/15/2017,5/17/2017,12.0,6.1,6.4,0.27,2.0,4.6,30.1,108.0,106.0,19.6,3568.0,569.0,10.0,28.5,20.0,1.0,62.0,17.0,0.0,11.0,40.0,26.0,34.0,Clay Loam,,,,,,,
2018,MOH1_2_2018,Ward Laboratories Inc,7/24/2018,7/26/2018,12.0,7.1,7.2,0.22,2.0,2.9,18.0,65.0,97.0,8.8,2162.0,336.0,26.0,14.0,0.0,2.0,77.0,20.0,1.0,19.0,25.0,45.0,30.0,Clay Loam,,,,,,,
2020,NYS1_2020,Ward Laboratories Inc,7/6/20,7/8/20,12.0,8.0,7.2,0.25,2.0,3.8,15.2,55.0,59.0,10.8,2108.0,230.0,12.0,12.7,0.0,1.0,83.0,15.0,0.0,9.0,43.0,32.0,25.0,Loam,,,,,,,
2021,IAH2_2021,Ward Laboratories Inc,08/10/2021,08/12/2021,8.0,5.7,6.4,0.33,2.0,4.3,53.3,128.0,284.0,10.0,2479.0,333.0,27.0,21.9,27.0,3.0,56.0,13.0,1.0,57.0,40.0,28.0,32.0,Clay Loam,,,,,,,
2015,NYH3_2015,UW Soil & Plant Analysis Lab,,6/5/15,,7.8,,,,2.4,,,49.0,,,,,,,,,,,21.0,,,,,,,,,,,
2015,WIH1_2015,UW Soil & Plant Analysis Lab,,5/27/15,,6.9,,,,3.4,,,142.0,,,,,,,,,,,43.0,,,,,,,,,,,
2021,NEH2_2021,Ward Laboratories Inc,08/31/2021,09/02/2021,12.0,5.8,6.8,0.26,2.0,3.0,28.9,104.0,147.0,4.7,1391.0,223.0,13.0,11.2,17.0,3.0,62.0,17.0,1.0,42.0,25.0,53.0,22.0,Silt Loam,,,,,,,Results referent to NEH2_2021 and NEH3_2021
2021,IAH1_2021,Ward Laboratories Inc,08/10/2021,08/12/2021,8.0,6.3,6.7,0.34,2.0,5.2,35.7,86.0,182.0,7.3,3210.0,754.0,16.0,26.1,12.0,2.0,62.0,24.0,0.0,71.0,16.0,44.0,40.0,Silty Clay Loam,,,,,,,
2016,IAH4_2016,Ward Laboratories Inc,5/17/2016,5/19/2016,12.0,6.7,7.2,0.41,2.0,,39.9,144.0,209.0,,3107.0,225.0,7.0,18.0,0.0,3.0,86.0,10.0,0.0,31.0,,,,,,,,,,,
